rtt;msec
0.173;174.870
Pacotes enviados:1
Pacotes retransmitidos:1
Pacotes confirmados:1

Envio: 0
rtt;msec
1.470;2.352
1.479;2.296
1.181;2.126
0.144;2.763
0.413;2.897
0.291;2.999
0.412;2.891
0.156;2.934
0.088;2.927
0.288;2.683
0.465;2.316
0.625;1.897
0.771;1.723
0.934;1.741
1.104;1.898
1.278;2.151
0.152;2.302
0.060;2.403
0.333;2.191
0.493;1.874
0.141;1.887
0.212;1.787
0.403;1.530
0.584;1.371
0.722;1.380
0.852;1.496
0.996;1.695
1.272;2.081
1.392;2.428
1.330;2.562
1.250;2.531
0.149;2.690
0.091;2.758
0.303;2.561
0.163;2.465
0.119;2.364
0.341;2.061
Pacotes enviados:256
Pacotes retransmitidos:73
Pacotes confirmados:256

Envio: 3
rtt;msec
0.125;1.970
0.319;1.707
0.511;1.454
0.747;1.494
0.890;1.640
1.049;1.871
1.174;2.122
0.096;2.197
0.348;1.992
0.670;1.734
0.974;1.836
1.231;2.133
1.182;2.250
1.129;2.241
1.491;2.562
1.695;2.944
1.860;3.320
1.753;3.414
1.891;3.562
1.844;3.560
1.561;3.222
1.131;2.941
0.136;3.446
0.603;3.323
0.534;3.210
0.706;2.923
0.865;2.546
0.962;2.173
0.852;1.973
1.015;1.770
0.086;2.235
0.477;2.180
0.323;2.206
0.512;2.023
0.724;1.700
0.883;1.616
0.150;1.842
0.506;1.670
0.468;1.550
0.645;1.338
0.863;1.396
1.078;1.632
1.286;1.977
1.434;2.331
1.615;2.715
1.577;2.895
1.715;3.110
1.674;3.167
1.683;3.166
1.642;3.079
0.098;3.535
0.188;3.660
0.087;3.709
0.261;3.498
0.482;3.092
0.672;2.602
0.834;2.206
1.026;2.095
0.123;2.290
0.451;2.104
0.760;1.820
1.066;1.907
0.977;1.848
1.117;1.923
1.106;1.935
1.265;2.077
1.183;2.062
1.297;2.139
1.448;2.314
1.345;2.299
1.293;2.207
0.120;2.672
0.420;2.672
0.735;2.366
0.987;2.093
0.887;1.807
1.047;1.727
1.194;1.800
1.064;1.699
1.175;1.724
1.316;1.864
1.249;1.872
1.120;1.729
0.090;2.297
0.172;2.539
0.202;2.602
0.459;2.375
0.717;1.973
0.877;1.811
1.071;1.869
1.249;2.061
1.663;2.575
1.926;3.147
1.866;3.424
0.209;3.580
0.698;3.211
0.746;2.854
1.331;2.742
1.673;2.966
1.503;2.903
1.752;3.067
1.925;3.306
2.209;3.704
2.416;4.126
1.670;3.603
1.489;3.149
0.149;3.805
0.514;3.847
0.979;3.421
0.784;3.212
0.932;2.888
1.098;2.490
0.602;2.557
0.699;2.467
0.828;2.256
0.122;2.603
0.422;2.527
0.648;2.243
0.503;2.115
0.465;2.009
0.611;1.782
0.577;1.622
0.701;1.392
0.843;1.362
0.157;1.622
0.168;1.738
0.384;1.604
0.607;1.388
0.843;1.458
1.029;1.671
1.237;1.998
1.462;2.414
1.669;2.865
1.844;3.298
1.814;3.507
1.528;3.305
1.468;3.057
1.433;2.809
1.366;2.537
1.281;2.237
1.237;2.015
0.166;2.648
0.083;3.048
0.254;3.090
0.467;2.869
0.169;2.873
0.077;2.859
0.244;2.639
0.414;2.291
0.611;1.882
0.764;1.727
0.926;1.756
1.099;1.923
1.252;2.160
1.400;2.435
0.184;2.546
0.177;2.550
0.415;2.300
0.640;1.908
0.935;1.871
1.105;1.987
1.263;2.194
1.411;2.448
1.550;2.722
1.663;2.978
1.589;3.031
1.509;2.940
1.222;2.549
0.120;2.999
0.442;2.963
0.408;2.886
0.569;2.637
0.746;2.276
0.882;1.956
1.033;1.863
0.976;1.720
0.859;1.530
0.132;1.930
0.400;1.936
0.642;1.710
0.861;1.598
0.770;1.410
0.710;1.273
0.673;1.192
0.779;1.123
0.918;1.205
0.906;1.239
1.074;1.418
0.152;1.766
0.525;1.664
0.807;1.525
1.061;1.665
0.283;1.799
0.418;1.738
0.577;1.538
0.752;1.414
0.035;1.702
0.317;1.627
0.562;1.366
0.116;1.493
0.328;1.375
0.072;1.456
0.207;1.365
0.331;1.176
0.490;1.078
0.170;1.085
0.499;1.032
0.787;1.268
0.687;1.308
0.865;1.493
1.061;1.791
1.255;2.157
1.236;2.351
1.392;2.599
1.343;2.675
1.276;2.616
1.229;2.489
0.770;2.262
0.777;2.061
0.144;2.364
0.430;2.279
0.684;1.975
0.958;1.864
0.824;1.629
0.698;1.493
0.621;1.437
0.723;1.298
0.065;1.682
0.369;1.656
0.162;1.754
0.184;1.752
0.363;1.567
0.564;1.360
0.722;1.358
1.053;1.667
1.222;2.020
1.385;2.390
1.541;2.757
1.677;3.096
0.175;3.157
0.292;3.017
0.524;2.665
0.708;2.230
0.846;1.952
1.013;1.902
1.167;1.996
1.310;2.174
1.133;2.087
1.134;2.002
0.126;2.363
0.487;2.259
0.271;2.298
0.447;2.128
0.590;1.856
0.124;1.988
0.373;1.830
Pacotes enviados:256
Pacotes retransmitidos:86
Pacotes confirmados:256

Envio: 4
rtt;msec
0.160;1.840
0.345;1.655
0.560;1.419
0.777;1.453
1.087;1.765
1.228;2.089
1.393;2.440
1.581;2.826
1.547;3.006
1.489;3.021
1.435;2.928
0.127;3.181
0.590;2.904
0.417;2.780
0.577;2.505
0.203;2.544
0.216;2.487
0.526;2.147
0.763;1.880
0.961;1.869
1.174;2.046
1.392;2.353
1.662;2.794
1.858;3.244
2.049;3.687
2.259;4.137
2.167;4.281
2.067;4.210
2.048;4.077
2.032;3.911
2.018;3.729
1.922;3.460
1.880;3.193
1.834;2.931
1.776;2.667
1.782;2.472
1.727;2.310
1.689;2.214
1.599;2.203
1.558;2.207
1.345;2.349
0.142;3.313
0.171;3.825
0.396;3.878
0.574;3.671
0.715;3.332
0.840;2.934
0.967;2.512
1.162;2.275
1.296;2.219
1.184;2.041
0.127;2.525
0.430;2.541
0.445;2.474
0.709;2.169
0.990;1.995
1.155;2.015
1.118;1.965
1.242;2.029
1.381;2.185
1.502;2.384
1.380;2.365
1.237;2.178
0.118;2.671
0.153;2.888
0.137;2.957
0.318;2.778
0.511;2.440
0.681;2.029
0.839;1.831
0.987;1.818
1.123;1.919
1.273;2.111
0.107;2.364
0.117;2.452
0.146;2.415
0.356;2.162
0.550;1.795
0.731;1.641
0.881;1.662
1.009;1.779
1.152;1.975
1.312;2.238
1.252;2.322
1.152;2.243
0.131;2.487
0.416;2.359
0.407;2.221
0.589;1.938
0.787;1.717
0.984;1.740
0.930;1.677
1.073;1.756
1.245;1.958
1.492;2.316
1.695;2.727
1.739;3.009
1.739;3.155
1.971;3.438
1.944;3.551
1.904;3.535
1.865;3.434
1.774;3.228
1.704;2.978
1.590;2.659
0.136;3.449
0.133;3.866
0.338;3.869
0.532;3.616
0.752;3.188
0.929;2.698
1.091;2.369
1.314;2.335
0.095;2.725
0.412;2.661
0.674;2.353
0.577;2.170
0.720;1.894
0.666;1.716
0.803;1.506
0.950;1.493
1.083;1.600
1.226;1.798
1.158;1.841
0.116;2.215
0.458;2.137
0.444;2.045
0.647;1.781
0.871;1.665
1.051;1.744
1.018;1.741
1.115;1.814
1.223;1.947
1.381;2.171
1.314;2.225
1.205;2.124
0.770;2.041
0.172;2.396
0.466;2.339
0.908;2.033
1.139;2.029
1.016;1.875
1.203;1.935
0.965;1.713
1.120;1.699
1.266;1.817
1.407;2.019
1.336;2.061
1.270;2.000
1.408;2.075
1.382;2.078
1.368;2.044
0.182;2.597
0.152;2.907
0.388;2.848
0.657;2.530
0.906;2.160
1.129;2.101
1.357;2.260
1.557;2.536
1.709;2.838
1.869;3.161
1.826;3.290
1.716;3.219
1.612;3.021
1.545;2.780
1.603;2.642
0.173;3.273
0.170;3.592
1.579;3.427
2.119;3.801
2.499;4.373
2.752;4.944
2.946;5.443
1.182;4.976
0.990;4.695
0.139;5.033
0.439;4.877
0.789;4.374
1.077;3.715
1.025;3.239
1.172;2.748
0.718;2.716
0.662;2.675
1.024;2.314
0.162;2.683
0.589;2.526
0.610;2.347
0.788;2.042
0.969;1.854
1.116;1.850
1.332;2.041
0.205;2.335
0.138;2.512
0.525;2.264
0.906;2.047
1.605;2.568
6.571;7.846
8.047;12.746
0.133;11.849
0.454;10.653
0.719;9.351
0.562;8.345
0.158;7.744
0.147;7.121
0.408;6.299
0.664;5.383
0.898;4.459
1.142;3.683
1.340;3.293
1.236;2.872
0.871;2.628
0.788;2.475
0.760;2.344
0.192;2.634
0.575;2.460
1.157;2.347
1.485;2.563
1.729;2.916
1.526;2.907
1.126;2.467
1.017;2.218
0.959;2.060
1.124;1.847
1.218;1.778
1.351;1.848
1.487;2.015
1.452;2.073
1.402;2.042
0.312;2.540
31.950;33.010
0.474;29.382
0.788;25.862
1.000;22.609
1.166;19.675
1.388;17.004
1.583;14.617
1.443;12.749
1.579;11.067
0.115;10.765
0.184;10.182
0.137;9.523
0.346;8.640
0.742;7.504
0.929;6.407
1.086;5.398
1.233;4.492
0.095;4.648
0.431;4.356
0.294;4.145
0.140;4.002
0.550;3.479
0.296;3.235
0.165;3.082
0.448;2.678
0.880;2.385
Pacotes enviados:256
Pacotes retransmitidos:64
Pacotes confirmados:256

Envio: 5
rtt;msec
0.180;2.351
0.347;2.135
0.570;1.770
